KEGG ID;Reaction string;
R06594;UDP-glucose + NAD+ -> UDP-3-ketoglucose + NADH + H+;
R06586;UDP-3-ketoglucose + L-Glutamine -> UDP-kanosamine + 2-Oxoglutaramate;
R06587;UDP-kanosamine + H2O -> Kanosamine + UDP + H+;
R06588;ATP + Kanosamine -> ADP + Kanosamine 6-phosphate + H+;
R06589;Kanosamine 6-phosphate -> Aminofructose 6-phosphate;
R06590;Aminofructose 6-phosphate + D-Ribose 5-phosphate -> Iminoerythrose 4-phosphate + Sedoheptulose 7-phosphate;
R06591;Iminoerythrose 4-phosphate + Phosphoenolpyruvate + H2O -> AminoDAHP + Orthophosphate;
R06592;AminoDAHP -> AminoDHQ + Orthophosphate;
R06593;AminoDHQ -> 5-Amino-5-deoxy-3-dehydroshikimate + H2O;
R06595;5-Amino-5-deoxy-3-dehydroshikimate -> 3-Amino-5-hydroxybenzoate + H2O;
