,Organism Name,Clade Level 1,Clade Level 2,Clade Level 3,Clade Level 4,Clade Level 5,Clade Level 6,Clade Level 7,Clade Level 8
0,bacterium symbiont of Theonella swinhoei pTSMAC1,,,,,,,,
1,Chitinophaga pinensis DSM 2588,,,,,,,,
2,Catenulispora acidiphila DSM 44928,Terrabacteria_group,Actinomycetes,,,,,,
3,Cutibacterium acnes KPA171202,Terrabacteria_group,Actinomycetes,,,,,,
4,Corynebacterium urealyticum DSM 7111,Terrabacteria_group,Actinomycetes,Mycobacteriales,,,,,
5,Nocardia sp. ATCC 202099,Terrabacteria_group,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,,,
6,Nocardia terpenica,Terrabacteria_group,Actinomycetes,Mycobacteriales,Nocardiaceae,Nocardia,,,
7,Rhodococcus jostii,Terrabacteria_group,Actinomycetes,Mycobacteriales,Nocardiaceae,,,,
8,Actinoplanes garbadinensis,Terrabacteria_group,Actinomycetes,Micromonosporaceae,,,,,
9,Micromonospora arborensis,Terrabacteria_group,Actinomycetes,Micromonosporaceae,Micromonospora,,,,
10,Micromonospora carbonacea,Terrabacteria_group,Actinomycetes,Micromonosporaceae,Micromonospora,,,,
11,Nocardiopsis alba DSM 43377,Terrabacteria_group,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,
12,Nocardiopsis sp. TFS65-07,Terrabacteria_group,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,
13,Marinactinospora thermotolerans,Terrabacteria_group,Actinomycetes,Streptosporangiales,Nocardiopsaceae,,,,
14,Thermobifida fusca YX,Terrabacteria_group,Actinomycetes,Streptosporangiales,Nocardiopsaceae,,,,
15,Streptomonospora alba,Terrabacteria_group,Actinomycetes,Streptosporangiales,Nocardiopsaceae,,,,
16,Actinomadura atramentaria DSM 43919,Terrabacteria_group,Actinomycetes,Streptosporangiales,Actinomadura,,,,
17,Actinomadura namibiensis,Terrabacteria_group,Actinomycetes,Streptosporangiales,Actinomadura,,,,
18,Nonomuraea sp. Bp3714-39,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,unclassified_Nonomuraea,,,
19,Nonomuraea sp. WU8817,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,unclassified_Nonomuraea,,,
20,Thermobispora bispora DSM 43833,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,,,,
21,Planomonospora sphaerica,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Planomonospora,,,
22,Planomonospora alba,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Planomonospora,,,
23,Microbispora corallina,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,,,,
24,Planobispora rosea,Terrabacteria_group,Actinomycetes,Streptosporangiales,Streptosporangiaceae,,,,
25,Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488,Terrabacteria_group,Actinomycetes,Streptomycetaceae,,,,,
26,Streptomyces triculaminicus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
27,Streptomyces huasconensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
28,Streptomyces leeuwenhoekii,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
29,Streptomyces malaysiense,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
30,Streptomyces bernensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
31,Streptomyces lactacystinaeus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
32,Streptomyces prunicolor NBRC 13075,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
33,Streptomyces mobaraensis NBRC 13819 = DSM 40847,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
34,Streptomyces collinus Tu 365,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
35,Streptomyces uncialis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
36,Streptomyces venezuelae ATCC 10712,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
37,Streptomyces bingchenggensis BCW-1,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
38,Streptomyces scabiei 87.22,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
39,Streptomyces viridochromogenes DSM 40736,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
40,Streptomyces tateyamensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
41,Streptomyces sviceus ATCC 29083,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
42,Streptomyces filamentosus NRRL 15998,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
43,Streptomyces lividans TK24,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
44,Streptomyces olindensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
45,Streptomyces avermitilis MA-4680 = NBRC 14893,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
46,Streptomyces curacoi,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
47,Streptomyces rimosus subsp. rimosus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
48,Streptomyces noursei,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
49,Streptomyces mirabilis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
50,Streptomyces katrae,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
51,Streptomyces cirratus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
52,Streptomyces varsoviensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
53,Streptomyces sioyaensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
54,Streptomyces achromogenes subsp. achromogenes,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
55,Streptomyces aurantiacus JA 4570,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_aurantiacus_group,,,
56,Streptomyces canus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,Streptomyces_aurantiacus_group,,,
57,Streptomyces cinnamoneus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
58,Streptomyces humidus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
59,Streptomyces griseocarneus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
60,Streptomyces bottropensis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
61,Streptomyces nodosus,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
62,Streptomyces laurentii,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
63,Streptomyces pristinaespiralis,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,,,,
64,Streptomyces sp. ZS0098,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
65,Streptomyces sp. CT34,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
66,Streptomyces sp. NRRL S-4,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
67,Streptomyces sp. NRRL WC-3908,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
68,Streptomyces sp. NRRL S-87,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
69,Streptomyces sp. NRRL S-146,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
70,Streptomyces sp. NRRL S-118,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
71,Streptomyces sp. NRRL S-1022,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
72,Streptomyces sp. NRRL F-5702,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
73,Streptomyces sp. WMMB 272,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
74,Streptomyces sp. BC16019,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
75,Streptomyces sp. ATCC 55365,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
76,Streptomyces sp. OH-4156,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
77,Streptomyces sp. e14,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
78,Streptomyces sp. FXJ1.264,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
79,Streptomyces sp. TP-A0584,Terrabacteria_group,Actinomycetes,Streptomycetaceae,Streptomyces,unclassified_Streptomyces,,,
