ID,Growth,Production,BGC type,BGC
ASPT,0.9882080588668465,1.039021988856769,T1PKS,
GLYCL,0.968939998018137,1.0087369114801839,T1PKS,
MCOALY,0.9890228031539336,1.0084625185767673,T1PKS,
FUM,0.9890228031539294,1.0084625185734957,T1PKS,
ASPTA,0.9919743308843639,1.0064890107174318,T1PKS,
GHMT2r,0.9613906650184549,1.0045932867422842,T1PKS,
PGCD,0.9598729556878602,1.00459328674093,T1PKS,
PSP_L,0.9598729553822759,1.0045932867340381,T1PKS,
PSERT,0.9598729553822842,1.0045932867297946,T1PKS,
AGT,0.9651161436478325,1.004593286726267,T1PKS,
PC20M,1.0000106757084934,1.000000000037835,T1PKS,
PC8XM,1.0000106757084934,1.000000000037835,T1PKS,
PC17M,1.0000106757084934,1.000000000037835,T1PKS,
PC6AS,1.0000106757084934,1.000000000037835,T1PKS,
PC6YM,1.0000106757084934,1.000000000037835,T1PKS,
PC6AR,1.0000106757084934,1.000000000037835,T1PKS,
THRS,0.9983529031014905,1.0000000000337756,T1PKS,
PGIA,1.0000000003164635,1.0000000000307492,T1PKS,
DCTPD2,1.000000000316456,1.000000000030546,T1PKS,
PDH,1.0000000003164582,1.0000000000287752,T1PKS,
PDE1,1.0000000003164582,1.0000000000287752,T1PKS,
PCPpdsredO,1.0000000003164582,1.0000000000287752,T1PKS,
PDH3,1.0000000003164582,1.0000000000287752,T1PKS,
PDE4,1.0000000003164582,1.0000000000287752,T1PKS,
AMMQLT9,1.0000000003164666,1.000000000028633,T1PKS,
PEPCK,1.0000000003164582,1.0000000000283273,T1PKS,
PFK,1.0000000003164582,1.0000000000283273,T1PKS,
PFK_3,1.00000000031646,1.0000000000274105,T1PKS,
G6PDH1b,1.0000000003164589,1.0000000000272082,T1PKS,
G5SD,1.0000000003164589,1.0000000000272082,T1PKS,
GALUi,1.0000000003164589,1.0000000000272082,T1PKS,
GABTA,1.0000000003164589,1.0000000000272082,T1PKS,
GALT,1.0000000003164589,1.0000000000272082,T1PKS,
GALM1,1.0000000003164589,1.0000000000272082,T1PKS,
G6PDH2r,1.0000000003164589,1.0000000000272082,T1PKS,
G6PDA,1.0000000003164589,1.0000000000272082,T1PKS,
G6PI,1.0000000003164589,1.0000000000272082,T1PKS,
G6PBDH,1.0000000003164589,1.0000000000272082,T1PKS,
PHACTE,1.00000000031646,1.0000000000269844,T1PKS,
ALATA_L2,1.0000000003164549,1.0000000000269242,T1PKS,
ALAR,1.0000000003164549,1.0000000000269242,T1PKS,
ALATA_D2,1.0000000003164549,1.0000000000269242,T1PKS,
ALATA_L,1.0000000003164549,1.0000000000269242,T1PKS,
PGI,1.000000000316461,1.0000000000256415,T1PKS,
GLYALDDr,1.000000000316459,1.0000000000256335,T1PKS,
FRD8,1.0000000003164617,1.0000000000249203,T1PKS,
TKT2,1.000000000316461,1.0000000000240559,T1PKS,
3OXCOAT,1.000000000316455,1.0000000000239706,T1PKS,
PNP,0.9999548622539004,1.0000000000235643,T1PKS,
GLXCL,1.000000000316464,1.000000000023402,T1PKS,
DHORD5,1.0000000003164653,1.0000000000232643,T1PKS,
G1SAT,1.000000000316464,1.0000000000229556,T1PKS,
CTPS1,0.9994040118992447,1.0000000000226705,T1PKS,
TRE6PH,1.0000000003164657,1.0000000000223996,T1PKS,
G3PD,1.0000000003164589,1.0000000000222842,T1PKS,
G5SAT,1.0000000003164589,1.0000000000222842,T1PKS,
G3PD5,1.0000000003164589,1.0000000000222842,T1PKS,
G3PD6,1.0000000003164589,1.0000000000222842,T1PKS,
PCADYOX,1.0000000003164566,1.0000000000217786,T1PKS,
DHPS,0.999930922421299,1.0000000000217495,T1PKS,
GLU5K,1.0000000003164635,1.0000000000216964,T1PKS,
ORNTAC,0.9999999999999934,1.0000000000208016,T1PKS,
GLUR,1.0000000003164653,1.0000000000205578,T1PKS,
3OAR40,1.0000000003164629,1.0000000000204767,T1PKS,
HCYSMT,1.0000000003164662,1.0000000000203204,T1PKS,
