,Name,Core Name,Core Class,Core Subclass,Core Number,BGC,Organism,End product SMILES,Metabolite list,Base Prediction,Prediction Score
0,BGC0002701,B7751_RS30120_lanthipeptide,lanthipeptide,Class III,6,Unknown,Paenibacillus thiaminolyticus,C=C(NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H]1CCCN1C(=O)C(=CC)NC(=O)[C@@H](N)C(C)C)C(C)C)[C@@H](C)CC)C(=O)NC(=CC)C(=O)N[C@H](C(=O)NC1CC2(CSC[C@@H](C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](C)NC2=O)NC(=O)[C@H](C(C)C)NC1=O)C(C)C,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_6_mature_peptide_c']",,
1,BGC0002701,B7751_RS30115_lanthipeptide,lanthipeptide,Class III,5,Unknown,Paenibacillus thiaminolyticus,CC=C(NC(=O)C(=CC)NC(=O)[C@H](CC(N)=O)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC12CSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)C(C1)NC(=O)C(=CC)NC(=O)[C@H](CC(C)C)NC2=O,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_5_mature_peptide_c']",,
2,BGC0002701,B7751_RS30110_lanthipeptide,lanthipeptide,Class III,4,Unknown,Paenibacillus thiaminolyticus,C=C(NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CSCC2(NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@@H](N)C(C)C)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)CC(NC(=O)C(=CC)NC(=O)[C@H](CC(C)C)NC2=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@H](C(=O)O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_4_mature_peptide_c']",,
3,BGC0002701,B7751_RS30345_lanthipeptide,lanthipeptide,Class III,3,Unknown,Paenibacillus thiaminolyticus,CC=C(NC(=O)[C@H](C)N)C(=O)N[C@H](C(=O)NC(=CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(=CC)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NC12CSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)C(C1)NC(=O)[C@H](CC(C)C)NC(=O)C(=CC)NC2=O)C(C)C)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_3_mature_peptide_c']",,
4,BGC0002701,B7751_RS30340_lanthipeptide,lanthipeptide,Class III,2,Unknown,Paenibacillus thiaminolyticus,CC=C(NC(=O)[C@H](C)N)C(=O)N[C@H](C(=O)NC(=CC)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(=CC)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)NC12CSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)NC(=O)C(C1)NC(=O)[C@H](CC(C)C)NC(=O)C(=CC)NC2=O)C(C)C)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_2_mature_peptide_c']",,
5,BGC0002701,B7751_RS30335_lanthipeptide,lanthipeptide,Class III,1,Unknown,Paenibacillus thiaminolyticus,C=C(NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CSCC2(NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@H](C)N)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)C(C)C)CC(NC(=O)[C@H](CC(C)C)NC(=O)C(=CC)NC2=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N1)C(=O)O,"['BGC0002701_prepeptide_c', 'BGC0002701_dehydrated_peptide_c', 'BGC0002701_cyclic_peptide_c', 'BGC0002701_core_peptide_c', 'BGC0002701_1_mature_peptide_c']",,
6,BGC0002700,allorf_1203_1349_lanthipeptide,lanthipeptide,Class III,2,Unknown,Bacillus nakamurai,C=C1NC(=O)C(=CC)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)C2(NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)CC)C(C)C)CSC[C@@H](C(=O)O)NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(N)=O)NC(=O)C(C2)NC(=O)[C@H](C(C)C)NC(=O)C(=CC)NC1=O,"['BGC0002700_prepeptide_c', 'BGC0002700_dehydrated_peptide_c', 'BGC0002700_cyclic_peptide_c', 'BGC0002700_core_peptide_c', 'BGC0002700_2_mature_peptide_c']",,
7,BGC0002700,allorf_1023_1202_lanthipeptide,lanthipeptide,Class III,1,Unknown,Bacillus nakamurai,C=C1NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)C2(NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)C(=CC)NC(=O)[C@@H](NC(=O)C(=CC)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)O)[C@@H](C)CC)C(C)C)CSC[C@@H](C(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)C(C2)NC(=O)[C@H](C(C)C)NC(=O)C(=C)NC1=O,"['BGC0002700_prepeptide_c', 'BGC0002700_dehydrated_peptide_c', 'BGC0002700_cyclic_peptide_c', 'BGC0002700_core_peptide_c', 'BGC0002700_1_mature_peptide_c']",,
8,BGC0002699,allorf_09461_09616_lanthipeptide,lanthipeptide,Class II,1,Unknown,Nostoc punctiforme PCC 73102,C=C(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C(=CC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)C(=C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(C)C)[C@@H](C)CC)C(=O)NC1CSC[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)[C@@H](C)CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC1=O,"['BGC0002699_prepeptide_c', 'BGC0002699_dehydrated_peptide_c', 'BGC0002699_cyclic_peptide_c', 'BGC0002699_core_peptide_c', 'BGC0002699_1_mature_peptide_c']",,
9,BGC0002668,K1726_23320_lanthipeptide,lanthipeptide,Class I,5,Unknown,Clostridium estertheticum,CC[C@H](C)[C@H](NC(=O)[C@@H]1CSC(C)C(NC(=O)[C@@H]2CSC[C](NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CC(C)C)C(=O)N2)C(=O)N[C@@H](C)C(=O)NCC(=O)N1)C(=O)NC1C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCSC)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)O)CSC1C,"['BGC0002668_prepeptide_c', 'BGC0002668_dehydrated_peptide_c', 'BGC0002668_cyclic_peptide_c', 'BGC0002668_core_peptide_c', 'BGC0002668_5_mature_peptide_c']",,
