,BGC ID,Core Number,Max Growth,Max NP,Gradient,BGC Source Organism,Core Class,Core Subclass
0,BGC0002701,6,0.07461714494432731,0.015867295184676892,0.21264945471333244,Paenibacillus thiaminolyticus,lanthipeptide,Class III
1,BGC0002701,5,0.07461714494432768,0.016813353566009107,0.22532828853949927,Paenibacillus thiaminolyticus,lanthipeptide,Class III
2,BGC0002701,4,0.07461714494432822,0.014940165177818982,0.2002242941480249,Paenibacillus thiaminolyticus,lanthipeptide,Class III
3,BGC0002701,3,0.07461714494432721,0.019911643579183822,0.26685078334262385,Paenibacillus thiaminolyticus,lanthipeptide,Class III
4,BGC0002701,2,0.07461714494432721,0.019911643579183822,0.26685078334262385,Paenibacillus thiaminolyticus,lanthipeptide,Class III
5,BGC0002701,1,0.07461714494432836,0.019844776119402985,0.26595464265229013,Paenibacillus thiaminolyticus,lanthipeptide,Class III
6,BGC0002700,2,0.0746171449443291,0.01670771550640865,0.2239125541304758,Bacillus nakamurai,lanthipeptide,Class III
7,BGC0002700,1,0.07461714494432814,0.013261520047875616,0.17772751902756448,Bacillus nakamurai,lanthipeptide,Class III
8,BGC0002699,1,0.0746171449680771,0.015455972101133452,0.20713700728895304,Nostoc punctiforme PCC 73102,lanthipeptide,Class II
9,BGC0002668,5,0.07461714494432836,0.0171494905197988,0.2298331105082349,Clostridium estertheticum,lanthipeptide,Class I
10,BGC0002668,4,0.07461714494432836,0.0171494905197988,0.2298331105082349,Clostridium estertheticum,lanthipeptide,Class I
11,BGC0002668,3,0.07461714494432836,0.0171494905197988,0.2298331105082349,Clostridium estertheticum,lanthipeptide,Class I
12,BGC0002668,2,0.07461714494432717,0.017252968273535386,0.2312198930474766,Clostridium estertheticum,lanthipeptide,Class I
13,BGC0002668,1,0.07461714494432717,0.017252968273535386,0.2312198930474766,Clostridium estertheticum,lanthipeptide,Class I
14,BGC0002663,2,0.07461714494432803,0.011023047587464776,0.1477280803988023,Bacillus amyloliquefaciens UMAF6639,lanthipeptide,Class II
15,BGC0002663,1,0.07461714496807688,0.011470474054263907,0.15372437606894862,Bacillus amyloliquefaciens UMAF6639,lanthipeptide,Class II
16,BGC0002635,1,0.07461714494432821,0.014725883265034892,0.1973525424488147,Actinokineospora diospyrosa,lanthipeptide,Class I
17,BGC0002575,2,0.07461714494432761,0.018018701721100417,0.24148205797131878,Streptococcus suis,lassopeptide,Class II
18,BGC0002575,1,0.07461714496807798,0.01609880130766437,0.2157520408285738,Streptococcus suis,lassopeptide,Class II
19,BGC0002425,1,0.07461714494432768,0.019036437826616185,0.2551214984280006,Streptomyces sp.,lassopeptide,Class II
20,BGC0002353,1,0.07461714496807502,0.2719018404907976,3.643959315344093,Micromonospora carbonacea,thiopeptide,Type II
21,BGC0002346,3,0.07461714494432793,0.010598644878437626,0.1420403432260147,Saccharopolyspora sp.,lanthipeptide,Class II
22,BGC0002346,2,0.07461714494432717,0.018863587997446276,0.25280500897643093,Saccharopolyspora sp.,lanthipeptide,Class II
23,BGC0002346,1,0.07461714494432796,0.01798944662427276,0.24108998860375497,Saccharopolyspora sp.,lanthipeptide,Class II
24,BGC0002325,1,0.07461714494432768,0.017685554668794904,0.23701730590188363,Mycetohabitans rhizoxinica HKI 454,lassopeptide,Class II
25,BGC0002323,1,0.07461714494432722,0.013821205821205775,0.18522828542311487,Staphylococcus capitis,lanthipeptide,Class I
26,BGC0002318,1,0.07461714494432783,0.014221841908225454,0.1905975083720562,Streptomyces canus,lassopeptide,Class II
27,BGC0002316,2,0.07461714494432875,0.015811630396004302,0.21190344937214137,Saccharopolyspora cebuensis,lanthipeptide,Class I
28,BGC0002316,1,0.07461714494432808,0.01585121602288984,0.21243396587629354,Saccharopolyspora cebuensis,lanthipeptide,Class I
29,BGC0002307,1,0.07461714494432871,0.017765900587920897,0.23809408147652797,Streptomyces humidus,lassopeptide,Class I
30,BGC0002298,1,0.07461714494432833,0.01780157986343553,0.2385722460530652,Sanguibacter keddieii DSM 10542,lassopeptide,Class II
31,BGC0002289,1,0.07461714494432758,0.016625195373554235,0.2228066402963879,Streptomyces leeuwenhoekii,lassopeptide,Class II
32,BGC0002111,7,0.07461714494432824,0.018407863768517312,0.24669750875956722,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
33,BGC0002111,6,0.0746171449443283,0.018188782489740058,0.24376143717788545,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
34,BGC0002111,5,0.0746171449443283,0.018188782489740058,0.24376143717788545,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
35,BGC0002111,4,0.0746171449443283,0.018188782489740058,0.24376143717788545,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
36,BGC0002111,3,0.07461714494432761,0.017974854670812494,0.24089443095448992,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
37,BGC0002111,2,0.0746171449443283,0.018188782489740058,0.24376143717788545,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
38,BGC0002111,1,0.0746171449443283,0.018188782489740058,0.24376143717788545,Bacillus thuringiensis serovar andalousiensis,lanthipeptide,Class III
39,BGC0002110,2,0.07461714494432803,0.01543354614045269,0.2068364603331806,Streptomyces rimosus subsp. rimosus,lanthipeptide,Class II
40,BGC0002110,1,0.07461714494432771,0.014708778140383728,0.19712330391839614,Streptomyces rimosus subsp. rimosus,lanthipeptide,Class II
41,BGC0002074,1,0.07461714494432822,0.016784699867449272,0.22494427895857338,Streptomyces huasconensis,lassopeptide,Class II
42,BGC0002064,2,0.07461714494432697,0.013683939690217748,0.1833886796449737,Amycolatopsis sp. YIM 10,lassopeptide,Class III
43,BGC0002064,1,0.07461714496807619,0.018671534896784157,0.250231162084431,Amycolatopsis sp. YIM 10,lassopeptide,Class III
44,BGC0002053,1,0.07461714494432865,0.01721276458023182,0.23068109337437323,Streptomyces sp.,lassopeptide,Class II
45,BGC0002015,1,0.07461714496807591,0.017737459978655213,0.23771292758847826,Streptomyces sp. ZS0098,lassopeptide,Class I
46,BGC0001920,1,0.07461714494432785,0.017492435205893962,0.23442916797399765,Streptomyces sp.,lassopeptide,Class I
47,BGC0001867,1,0.07461714494432838,0.010501954899095535,0.14074452871295212,Prochlorococcus marinus str. MIT 9313,lanthipeptide,Class II
48,BGC0001860,1,0.07461714496807667,0.017348643006263043,0.23250210140960612,Thermobispora bispora DSM 43833,thiopeptide,Type II
49,BGC0001789,1,0.07461714496807582,0.014880805819809783,0.19942877506471712,Streptococcus suis,lanthipeptide,Class I
50,BGC0001788,3,0.0746171449443271,0.0143717235042966,0.1926061834048937,Streptococcus suis,lanthipeptide,Class II
51,BGC0001788,2,0.07461714494432857,0.014221841908225506,0.190597508372055,Streptococcus suis,lanthipeptide,Class II
52,BGC0001788,1,0.07461714494432767,0.014227168155797039,0.190668889387446,Streptococcus suis,lanthipeptide,Class II
53,BGC0001787,4,0.07461714494432752,0.013722778408504492,0.1839091862700345,Streptococcus suis,lanthipeptide,Class II
54,BGC0001787,3,0.07461714496807646,0.011992964416181837,0.16072665901801525,Streptococcus suis,lanthipeptide,Class II
55,BGC0001787,2,0.07461714494432876,0.013739085507620766,0.1841277298651856,Streptococcus suis,lanthipeptide,Class II
56,BGC0001787,1,0.07461714494432846,0.012962854635858417,0.17372488113194293,Streptococcus suis,lanthipeptide,Class II
57,BGC0001786,1,0.0746171449680765,0.0207183482664589,0.27766203431292963,Novosphingobium subterraneum,lassopeptide,Class II
58,BGC0001781,1,0.07461714496807753,0.016585791804403414,0.2222785636129484,Planomonospora sphaerica,lassopeptide,Class II
59,BGC0001753,2,0.07461714496807631,0.01835576723959415,0.24599932424977336,Streptomyces globisporus subsp. globisporus,thiopeptide,Type III
60,BGC0001753,1,0.074617144968084,0.018131733260602727,0.24299687784031695,Streptomyces globisporus subsp. globisporus,thiopeptide,Type III
61,BGC0001727,1,0.07461714494432807,0.01623046875000001,0.21751661447391993,Paenibacillus polymyxa E681,lanthipeptide,Class I
62,BGC0001707,1,0.07461714494432758,0.3067128027681661,4.1104869798624275,Streptomyces sp.,thiopeptide,Type I
63,BGC0001701,4,0.07461714494432771,0.012750287686996525,0.17087611294307212,Blautia obeum,lanthipeptide,Class I
64,BGC0001701,3,0.0746171449443278,0.014104916989338594,0.18903051034534138,Blautia obeum,lanthipeptide,Class I
